COMMODITY,SPECIFICATION,UNIT,WEEKLY AVERAGE PRICE
KADIWA RICE-FOR-ALL,,,,
P20 Benteng Bigas Meron Naᵃ,,kg,20,
IMPORTED COMMERCIAL RICE,,,,
Basmati,,kg,211,
Glutinous,,kg,61.64,
Japonica/Jasponica,,kg,61.23,
Other Special Rice,White Rice,kg,59.49,
Premium,5% broken,kg,50.23,
Well Milled,1-19% bran streak,kg,44.75,
Regular Milled,20-40% bran streak,kg,38.92,
LOCAL COMMERCIAL RICE,,,,
Basmati,,kg,-,
Glutinous,,kg,73.31,
Japonica/Jasponica,,kg,-,
Other Special Rice,White Rice,kg,57.31,
Premium,5% broken,kg,50.04,
Well Milled,1-19% bran streak,kg,43.55,
Regular Milled,20-40% bran streak,kg,38.22,
CORN,,,,
Corn (White),"Cob, Glutinous",kg,107.64,
Corn (Yellow),"Cob, Sweet Corn",kg,92.76,
"Corn Grits (White, Food Grade)",,kg,120,
"Corn Grits (Yellow, Food Grade)",,kg,120,
"Corn Cracked (Yellow, Feed Grade)",,kg,50,
Corn Grits (Feed Grade),,kg,47.5,
LEGUMES,,,,
Mungbean,,kg,130.33,
FISH,,,,
Bangus,Large,kg,264.73,
Bangus,Medium (3-4pcs/kg),kg,238.54,
Tilapia,Medium (5-6pcs/kg),kg,154.36,
Galunggong (Local),"Male, Medium (12-14pcs/kg)",kg,353.28,
Galunggong (Imported),"Male, Medium (12-14pcs/kg)",kg,309.27,
Alumahan,Medium (4-6pcs/kg),kg,355.81,
Bonito,,kg,-,
Salmon Head,,kg,-,
Sardines (Tamban),,kg,150.7,
Squid (Pusit Bisaya),Medium,kg,482.59,
Yellow-Fin Tuna (Tambakol),,kg,296.65,
LIVESTOCK & POULTRY PRODUCTS,,,,
Beef Rump,Lean Meat/ Tapadera,kg,480.27,
Beef Brisket,Meat with Bones,kg,425.34,
Pork Ham,Kasim,kg,341.12,
Pork Belly,Liempo,kg,392.92,
Frozen Kasim,,kg,255.72,
Frozen Liempo,,kg,312.21,
Whole Chicken,Fully Dressed,kg,205.1,
"Chicken Egg (White, Pewee)",41-45 grams/pc,pc,6.84,
"Chicken Egg (White, Extra Small)",46-50 grams/pc,pc,7.32,
"Chicken Egg (White, Small)",51-55 grams/pc,pc,7.77,
"Chicken Egg (White, Medium)",56-60 grams/pc,pc,8.29,
"Chicken Egg (White, Large)",61-65 grams/pc,pc,8.82,
"Chicken Egg (White, Extra Large)",66-70 grams/pc,pc,9.36,
"Chicken Egg (White, Jumbo)",71> grams/pc,pc,9.9,
"Chicken Egg (Brown, Medium)",Medium,pc,11.18,
"Chicken Egg (Brown, Large)",Large,pc,12.33,
"Chicken Egg (Brown, Extra Large)",Extra Large,pc,11,
LOWLAND VEGETABLES,,,,
Ampalaya,4-5 pcs/kg,kg,170.59,
Sitao,3-4 Small Bundles,kg,152.11,
Pechay (Native),3-4 Small Bundles,kg,118.2,
Squash,Suprema Variety,kg,58.65,
Eggplant,3-4 Small Bundles,kg,166.21,
Tomato,15-18 pcs/kg,kg,139.29,
,,,351.13,
x,HIGHLAND VEGETABLES,,,
Bell Pepper (Green),Medium (151-250gm/pc),kg,275.78,
Bell Pepper (Red),Medium (151-250gm/pc),kg,247.09,
Broccoli,Medium (8-10 cm diameter/bunch hd),kg,308.24,
Cabbage (Rare Ball),510 gm - 1 kg/head,kg,85.66,
Cabbage (Scorpio),750 gm - 1 kg/head,kg,84.66,
Cabbage (Wonder Ball),510 gm - 1 kg/head,kg,76.29,
Carrots,8-10 pcs/kg,kg,122.07,
Habichuelas (Baguio Beans),,kg,331.86,
White Potato,10-12 pcs/kg,kg,150.68,
Pechay (Baguio),,kg,86.11,
Chayote,Medium (301-400 g),kg,113.63,
Cauliflower,Medium (8-10 cm diameter/bunch hd),kg,253.53,
Celery,Medium (501-800 g),kg,182.12,
Lettuce (Green Ice),,kg,339.49,
Lettuce (Iceberg),Medium (301-450 cm diameter/bunch hd),kg,404.6,
Lettuce (Romaine),,kg,369.81,
SPICES,,,,
Red Onion,13-15 pcs/kg,kg,281.15,
Red Onion (Imported)b,,kg,213.87,
White Onion,,kg,-,
White Onion (Imported),,kg,137.01,
Garlic (Imported),,kg,153.02,
Garlic (Native),,kg,409.09,
Ginger,"Fairly well-matured, Medium (150-300 gm)",kg,173.05,
Chilli (Red),,kg,574.13,
FRUITS,,,,
Calamansi,,kg,106.7,
Banana (Lakatan),8-10 pcs/kg,kg,96.68,
Banana (Latundan),10-12 pcs/kg,kg,75.47,
Banana (Saba),,kg,53,
Papaya,"Solo, Ripe, 2-3 pcs/kg",kg,70.28,
Mango (Carabao),"Ripe, 3-4 pcs/kg",kg,211.52,
Avocado,,kg,401.46,
Melon,,kg,106.75,
Pomelo,,kg,179.27,
Watermelon,,kg,79.19,
OTHER BASIC COMMODITIES,,,,
Sugar (Refined),,kg,81.74,
Sugar (Washed),,kg,75.18,
Sugar (Brown),,kg,73.45,
Cooking Oil (Palm),350 ml/bottle,ml,36.02,
Cooking Oil (Palm),1 Liter/bottle,L,90.45,
Cooking Oil (Coconut),350 ml/bottle,ml,59.66,
Cooking Oil (Coconut),1 Liter/bottle,L,161.64,

